%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444808570215342672,0.25,207,208,211,212,212,213,0,0
1444808570315590626,0.25,212,207,211,211,212,212,0,0
1444808570414748809,0.25,209,210,265,222,244,363,0,0
1444808570514760265,0.25,208,210,260,209,207,249,0,0
1444808570614704978,0.25,209,209,232,210,205,215,0,0
1444808570714744859,0.25,206,208,222,211,207,210,0,0
1444808570815115278,0.25,209,210,213,213,211,211,0,0
1444808570915229184,0.25,210,208,211,212,212,212,0,0
1444808571015114756,0.25,208,208,211,212,212,213,0,0
1444808571115233932,0.25,211,206,210,211,211,212,0,0
1444808571214987264,0.25,208,208,210,211,211,212,0,0
1444808571315337416,0.25,208,210,210,212,212,212,0,0
1444808571415171623,0.25,208,210,265,223,244,362,0,0
1444808571515112599,0.25,208,208,260,209,207,249,0,0
1444808571614613311,0.25,207,208,233,210,205,214,0,0
1444808571715215444,0.25,208,208,216,211,208,209,0,0
1444808571814897835,0.25,207,208,211,212,211,211,0,0
1444808571915523860,0.25,208,209,210,212,211,212,0,0
1444808578015120458,0.25,208,209,210,212,212,212,0,0
1444808578015400327,0.3,178,181,195,190,191,194,0,0
1444808578115282486,0.3,176,180,195,189,191,194,0,0
1444808578216057365,0.3,178,181,195,189,191,194,0,0
1444808578315694791,0.3,176,180,195,190,191,194,0,0
1444808578415764736,0.3,177,180,195,189,191,194,0,0
1444808578516095292,0.3,176,180,256,189,197,274,0,0
1444808578615079777,0.3,177,180,230,186,183,206,0,0
1444808578715867392,0.3,178,181,207,189,186,192,0,0
1444808578815803039,0.3,177,182,197,190,190,192,0,0
1444808578915911686,0.3,176,180,195,190,191,193,0,0
1444808579015732696,0.3,177,182,195,190,192,194,0,0
1444808579115559071,0.3,175,180,195,190,192,194,0,0
1444808579215528820,0.3,177,181,196,190,192,195,0,0
1444808579315558970,0.3,179,180,195,189,191,194,0,0
1444808579415902250,0.3,178,183,251,201,224,348,0,0
1444808579515349732,0.3,181,181,245,187,186,230,0,0
1444808579616305586,0.3,177,181,230,187,183,207,0,0
1444808579716217793,0.3,172,178,206,188,186,192,0,0
1444808579815870869,0.3,178,182,197,190,190,192,0,0
1444808579916233939,0.3,175,180,194,190,191,193,0,0
1444808586015761212,0.3,177,180,195,190,191,194,0,0
1444808586016585051,0.35,159,159,184,173,176,180,0,0
1444808586116430937,0.35,155,160,184,173,177,181,0,0
1444808586216268913,0.35,154,162,184,174,177,181,0,0
1444808586316180200,0.35,154,160,184,174,177,181,0,0
1444808586416391259,0.35,153,162,184,174,177,181,0,0
1444808586516393239,0.35,153,160,246,174,183,262,0,0
1444808586616298519,0.35,154,159,219,171,169,194,0,0
1444808586716429175,0.35,153,160,196,172,172,179,0,0
1444808586816696102,0.35,154,160,187,174,175,179,0,0
1444808586916414230,0.35,152,159,184,173,176,180,0,0
1444808587016583420,0.35,154,160,184,174,177,181,0,0
1444808587115948548,0.35,152,159,184,173,176,181,0,0
1444808587216365181,0.35,154,162,184,174,177,181,0,0
1444808587316202414,0.35,154,160,184,174,177,181,0,0
1444808587416454041,0.35,154,160,184,174,177,181,0,0
1444808587516834480,0.35,154,160,245,173,182,262,0,0
1444808587616506279,0.35,154,159,219,170,168,194,0,0
1444808587716437154,0.35,156,160,196,173,172,179,0,0
1444808587816409910,0.35,154,160,186,174,175,179,0,0
1444808587916252257,0.35,153,160,184,174,177,180,0,0
1444808594016316684,0.35,154,161,184,174,177,181,0,0
1444808594016459737,0.4,137,142,176,161,166,171,0,0
1444808594117202578,0.4,135,143,176,160,166,171,0,0
1444808594217118601,0.4,138,142,176,160,165,171,0,0
1444808594316875807,0.4,138,144,176,161,165,171,0,0
1444808594416913629,0.4,141,145,177,161,166,171,0,0
1444808594516837793,0.4,135,144,238,161,171,253,0,0
1444808594616954427,0.4,133,145,211,159,158,184,0,0
