%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444809613982974458,0.25,107,120,166,145,151,158,0,0
1444809614082781829,0.25,107,123,223,155,186,320,0,0
1444809614182737780,0.25,108,121,215,142,146,195,0,0
1444809614283144704,0.25,111,119,185,143,144,160,0,0
1444809614382696982,0.25,107,121,170,145,149,156,0,0
1444809614482410704,0.25,109,120,166,145,151,157,0,0
1444809614583007292,0.25,107,120,165,145,151,158,0,0
1444809614682585296,0.25,107,121,165,145,151,158,0,0
1444809614782668517,0.25,109,121,165,144,151,158,0,0
1444809614882454507,0.25,107,121,166,145,152,159,0,0
1444809614982737077,0.25,111,121,166,145,152,159,0,0
1444809615082443358,0.25,108,123,225,157,186,320,0,0
1444809615182986666,0.25,111,120,227,144,157,240,0,0
1444809615282843279,0.25,107,121,199,142,143,171,0,0
1444809615382935766,0.25,109,121,176,144,147,157,0,0
1444809615482768655,0.25,106,121,168,146,151,158,0,0
1444809615582701685,0.25,112,123,166,146,152,159,0,0
1444809615682694488,0.25,108,121,166,145,152,159,0,0
1444809615782744951,0.25,108,121,166,145,152,158,0,0
1444809621882561486,0.25,108,121,166,145,152,159,0,0
1444809621882597003,0.3,92,108,161,136,144,153,0,0
1444809621983205928,0.3,93,108,160,136,144,152,0,0
1444809622082766228,0.3,92,112,219,148,179,315,0,0
1444809622183060067,0.3,92,108,210,134,139,189,0,0
1444809622283005825,0.3,93,109,181,135,138,154,0,0
1444809622383004806,0.3,96,108,166,136,142,150,0,0
1444809622483140939,0.3,91,108,161,137,144,151,0,0
1444809622583081257,0.3,92,108,160,136,144,152,0,0
1444809622683043082,0.3,92,109,160,137,144,152,0,0
1444809622783149556,0.3,92,108,160,136,144,152,0,0
1444809622883194465,0.3,92,109,161,137,145,153,0,0
1444809622983313335,0.3,96,107,161,136,144,152,0,0
1444809623083070094,0.3,93,110,219,148,179,315,0,0
1444809623183003887,0.3,92,107,209,133,137,188,0,0
1444809623283239727,0.3,91,107,180,134,137,154,0,0
1444809623383251518,0.3,92,108,165,136,141,149,0,0
1444809623483324562,0.3,92,108,160,136,143,151,0,0
1444809623583086235,0.3,92,108,160,136,144,151,0,0
1444809623682921282,0.3,95,107,160,136,144,152,0,0
1444809623782809021,0.3,92,108,160,136,144,152,0,0
1444809629883418038,0.3,92,108,160,136,144,152,0,0
1444809629883551562,0.35,76,98,157,129,138,147,0,0
1444809629983717091,0.35,81,98,157,130,138,147,0,0
1444809630083649352,0.35,77,97,216,140,173,310,0,0
1444809630183996110,0.35,81,97,205,126,132,183,0,0
1444809630283523337,0.35,80,98,176,128,132,149,0,0
1444809630384084018,0.35,75,96,167,129,134,146,0,0
1444809630483651118,0.35,75,97,158,129,136,145,0,0
1444809630583603283,0.35,80,99,156,129,138,146,0,0
1444809630683649630,0.35,79,97,157,129,138,147,0,0
1444809630783660228,0.35,75,96,156,129,138,147,0,0
1444809630883648479,0.35,77,96,156,129,138,147,0,0
1444809630983730570,0.35,80,97,156,128,137,146,0,0
1444809631083622013,0.35,76,99,215,141,173,310,0,0
1444809631183681994,0.35,80,95,205,126,132,183,0,0
1444809631283646400,0.35,81,97,176,127,131,149,0,0
1444809631383322573,0.35,80,98,161,129,135,145,0,0
1444809631483643936,0.35,79,98,156,129,137,146,0,0
1444809631583650195,0.35,81,101,156,131,139,147,0,0
1444809631683666349,0.35,80,100,157,131,139,148,0,0
1444809631783735778,0.35,85,98,157,130,139,148,0,0
1444809637883503300,0.35,81,98,157,130,138,147,0,0
1444809637883606814,0.4,67,88,154,124,134,143,0,0
1444809637983787564,0.4,67,87,153,123,133,142,0,0
1444809638084142132,0.4,67,88,153,123,133,142,0,0
1444809638184177886,0.4,67,88,215,123,138,225,0,0
1444809638284301628,0.4,65,88,186,121,125,155,0,0
1444809638384201473,0.4,68,88,163,123,128,141,0,0
1444809638483736972,0.4,67,88,155,124,132,141,0,0
1444809638584136426,0.4,66,89,153,124,133,142,0,0
1444809638684213882,0.4,70,88,153,124,133,143,0,0
1444809638784151723,0.4,67,88,154,123,133,143,0,0
1444809638884169365,0.4,67,88,153,123,133,143,0,0
1444809638984419933,0.4,66,88,153,123,133,143,0,0
1444809639084196875,0.4,66,93,213,136,168,307,0,0
1444809639184230088,0.4,67,88,202,121,127,179,0,0
1444809639284155170,0.4,66,88,174,122,127,145,0,0
